¡ˆ¡°,¿œΩ√,∆Ú±’ ¿ÃªÍ»≠≈∫º“(CO2) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ∏ﬁ≈∫(CH4) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ æ∆ªÍ»≠¡˙º“(N2O) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“11(CFC11) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“12(CFC12) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“113(CFC113) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ¿∞∫“»≠»≤(SF6) πË∞Ê¥Î±‚≥Ûµµ(ppm)
132,2013-09-06,,,,,,,8.4
132,2013-09-07,,,,,,63,8.3
132,2013-09-08,,1931.4,,,,,
132,2013-09-09,,,,,,65.1,
132,2013-09-10,,,,,,65.7,
132,2013-09-13,,1923.7,,,,,
132,2013-09-14,,1932.3,,,,68.8,
132,2013-09-15,,1960.7,,,,,
132,2013-09-16,,1905.5,,,,,8
132,2013-09-17,,,,,,68.4,8.2
132,2013-09-20,,,,,,66.9,
132,2013-09-22,,1964.5,,,,,8.5
132,2013-09-23,399.5,1953.7,,,,,8.3
132,2013-09-24,,1903,,,,,8.1
132,2013-09-25,,1908.3,,,,,8.2
132,2013-09-26,,1921.3,,,,70.3,8.3
132,2013-09-27,,1931,,,,,8.4
132,2013-09-29,,,,,,67.4,
132,2013-10-02,,1930.5,,,,,8.2
132,2013-10-03,,1925.2,,,,,8.3
132,2013-10-04,,1974,,,,,8.3
132,2013-10-05,,1950.7,,,,,8.5
132,2013-10-06,399.9,1933.6,,,,71,8.6
132,2013-10-07,,1940.9,,,,,
132,2013-10-08,,1987.1,,,,,
132,2013-10-09,,1939.3,,,,,
132,2013-10-10,,1985.2,,,,,
132,2013-10-11,399.2,1905.3,,,,68.8,
132,2013-10-12,397.4,1907.2,,,,,9
132,2013-10-13,,1954.5,,,,57.5,
132,2013-10-14,,1962.4,,,,,
132,2013-10-15,,1928.5,,,,,9
132,2013-10-16,400.8,1923,,,,70.2,8.5
132,2013-10-17,,1949.5,,,,59.5,8.4
132,2013-10-18,,1986.4,,,,,
132,2013-10-19,399.3,1955.7,,,,,9.2
132,2013-10-20,,,,,,59.6,
132,2013-10-21,,1926.4,,,,65.8,
132,2013-10-22,399.6,1931.7,,,,60.9,
132,2013-10-23,399.5,1918.3,,,,,8.3
132,2013-10-24,404.4,1920.2,,237.3,,71.1,8.4
132,2013-10-25,,1936.8,,237.3,,67.4,8.5
132,2013-10-26,,1928.9,,234.4,,,8.5
132,2013-10-27,402.9,1909.9,,,,,8.5
132,2013-10-28,,1925.3,,223.3,,,8.5
132,2013-10-29,,1954.1,,,,,
132,2013-10-30,405.1,1917.7,,,,,8.3
132,2013-10-31,,1972.1,,,,55.3,8.6
132,2013-11-01,,,,243.8,,68.2,
132,2013-11-02,,1940.8,,245.4,,58.5,8.9
132,2013-11-03,,,,252.6,,59.7,
132,2013-11-04,,1986.6,,251.2,,59,9.1
132,2013-11-05,,,,249.6,,,
132,2013-11-06,,1985.4,,246.6,,,
132,2013-11-07,403.2,1912.1,,233.8,,69.2,8.4
132,2013-11-08,,1944.2,,235.8,,,8.3
132,2013-11-09,,1975.9,,257.3,,60.2,
132,2013-11-10,400.3,1900.2,,229.5,,69.9,8.2
132,2013-11-11,401.5,1907.8,,,,,8.2
132,2013-11-12,403.3,1915.6,,220.2,,,8.3
132,2013-11-13,,1956.2,,233.8,,,8.5
132,2013-11-14,,1979.3,,,,,9.4
132,2013-11-15,,1936.8,,,,69.3,8.8
132,2013-11-16,,1943.5,,,,,8.9
132,2013-11-17,402.9,1918.9,,,,70.4,8.5
132,2013-11-18,403.8,1913.4,,,,70.2,8.2
132,2013-11-19,404.6,1918.7,,,,,8.2
132,2013-11-20,403.6,1916.4,,,,70.7,8.3
132,2013-11-21,404.6,1918.9,,,,,8.4
132,2013-11-22,405.8,1921.8,,,,69.7,8.3
132,2013-11-23,,1939.8,,,,,8.4
132,2013-11-24,,,,,,70.8,8.8
132,2013-11-25,,1938.2,,,,68.4,8.6
132,2013-12-07,,,,,,69.8,
132,2013-12-08,,,,,,74.8,
132,2013-12-10,,,,263.9,508.9,,
132,2013-12-13,,1931.1,,,,67.8,
132,2013-12-14,,1946.6,,,,73.1,
132,2013-12-15,,1935.1,,,,,
132,2013-12-16,,,,277.5,527.7,73.8,
132,2013-12-17,,,,,519.5,,
132,2013-12-18,,1978,,,507.2,73.8,
132,2013-12-19,405.6,1925.1,,280.4,519.4,,8.3
132,2013-12-20,,1963.4,,276.5,526.9,,8.5
132,2013-12-21,,1977.7,,273,524.7,,8.2
132,2013-12-22,,1920.1,,268.5,521.2,,8.3
132,2013-12-23,405,1913.7,,276.3,528.3,74.1,8.3
132,2013-12-24,,1930,,269.4,527,71,8.2
132,2013-12-25,,1939.1,,,,,
132,2013-12-26,,1961.9,,276.1,527.3,,8.3
132,2013-12-27,406.5,1932.5,,274.7,525.5,73.2,8
132,2013-12-28,406.4,1922.2,,275.6,527.1,73.3,8.3
132,2013-12-29,408.6,1946.6,,276.3,527.2,74.2,8.2
132,2013-12-30,,1978.3,,,526.5,73.9,8.8
132,2013-12-31,,,,291,528.8,72.1,8.9
